A    a
SIUL    s i u l
SIUMAN    s i u m a n
SIUNG    s i u ng
SIUR    s i u r
SIUT    s i u t
SIVILISASI    s i f i l i s a s i
SIWALAN    s i w a l a n
SIWARATRI    s i w a r a t r i
SIWER    s i w ## r
SIZIGI    s i z i g i
SKAFA    s k a f a
SKALA    s k a l a
SKALANISASI    s k a l a n i s a s i
SKALAR    s k a l a r
SKALOP    s k a l o p
SKANDAL    s k a n d a l
SKANDIUM    s k a n d i u m
SKARIFIKASI    s k a r i f i k a s i
SKATOLA    s k a t o l a
SKATOLOGI    s k a t o l o g i
SKEDUL    s k ## d u l
SKELET    s k ## l ## t
SKEMA    s k ## m a
SKEMATIS    s k ## m a t i s
SKENARIO    s k ## n a r i o
SKENE    s k ## n ##
SKEPTIS    s k ## p t i s
SKEPTISISME    s k ## p t i s i s m ##
SKETSA    s k ## t s a
SKI    s k i
SKIAMETER    s k i a m ## t ## r
SKIATIKA    s k i a t i k a
SKILOT    s k i l o t
SKIP    s k i p
SKIPING    s k i p i ng
SKISMA    s k i s m a
SKIZOFRENIA    s k i z o f r ## n i a
SKIZOID    s k i z ## d
SKLERENKIMA    s k l ## r ## n k i m a
SKLEROSIS    s k l ## r o s i s
SKLEROTERAPI    s k l ## r o t ## r a p i
SKOLASTIK    s k o l a s t i k
SKOLASTIKUS    s k o l a s t i k u s
SKOLASTISI    s k o l a s t i s i
SKOLASTISISME    s k o l a s t i s i s m ##
SKOMBROID    s k o m b r ## d
SKOP    s k o p
SKOPOMETER    s k o p o m ## t ## r
SKOR    s k o r
SKORBUT    s k o r b u t
SKORPIO    s k o r p i o
SKORS    s k o r s
SKORSING    s k o r s i ng
SKRIN    s k r i n
SKRINING    s k r i n i ng
SKRIP    s k r i p
SKRIPSI    s k r i p s i
SKROBIKULUS    s k r o b i k u l u s
SKROTUM    s k r o t u m
SKUADRON    s k u a d r o n
SKUAS    s k u a s
SKUAT    s k u a t
SKUOS    s k u o s
SKUTER    s k u t ## r
SLAGORDE    s l a g o r d ##
SLAH    s l a h
SLANG    s l a ng
SLEBOR    s l ## b o r
SLENDRO    s l ## n d r o
SLING    s l i ng
SLINTAT-SLINTUT    s l i n t a t s l i n t u t
SLIP    s l i p
SLOF    s l o f
SLOGAN    s l o g a n
SMES    s m ## s
SMOKEL    s m o k ## l
SNOB    s n o b
SNOBISME    s n o b i s m ##
SOAK    s o a k
SOAL    s o a l
SOANG    s o a ng
SOARMA    s o a r m a
SOBA    s o b a
SOBAN    s o b a n
SOBAT    s o b a t
SOBEK    s o b ## k
SOBOK    s o b o k
SODA    s o d a
SODET    s o d ## t
SODIUM    s o d i u m
SODOK    s o d o k
SODOMASOSISME    s o d o m a s o s i s m ##
SODOMI    s o d o m i
SODOMIA    s o d o m i a
SODOR    s o d o r
SOE    s o ##
SOFA    s o f a
SOFIS    s o f i s
SOFISME    s o f i s m ##
SOFISTRI    s o f i s t r i
SOFITEL    s o f i t ## l
SOGA    s o g a
SOGAN    s o g a n
SOGANG    s o g a ng
SOGO    s o g o
SOGOK    s o g o k
SOHAR    s o h a r
SOHIB    s o h i b
SOHOR    s o h o r
SOHUN    s o h u n
SOJA    s o j a
SOK    s o k
SOKA    s o k a
SOKAH    s o k a h
SOKER    s o k ## r
SOKET    s o k ## t
SOKOM    s o k o m
SOKONG    s o k o ng
SOL    s o l
SOLAH    s o l a h
SOLAK    s o l a k
SOLANG    s o l a ng
SOLANINA    s o l a n i n a
SOLAR    s o l a r
SOLARIMETER    s o l a r i m ## t ## r
SOLDER    s o l d ## r
SOLEK    s o l ## k
SOLEMPIS    s o l ## m p i s
SOLENOIDE    s o l ## n ## d ##
SOLFATAR    s o l f a t a r
SOLFATARA    s o l f a t a r a
SOLID    s o l i d
SOLIDARITAS    s o l i d a r i t a s
SOLIDER    s o l i d ## r
SOLIDITAS    s o l i d i t a s
SOLILOKUI    s o l i l o k u i
SOLINOMETER    s o l i n o m ## t ## r
SOLIPSISME    s o l i p s i s m ##
SOLIS    s o l i s
SOLITER    s o l i t ## r
SOLO    s o l o
SOLOIS    s o l ## s
SOLOK    s o l o k
SOLOKAN    s o l o k a n
SOLOT    s o l o t
SOLUM    s o l u m
SOLUSI    s o l u s i
SOLVABILITAS    s o l f a b i l i t a s
SOLVEN    s o l f ## n
SOM    s o m
SOMA    s o m a
SOMAH    s o m a h
SOMASI    s o m a s i
SOMATIS    s o m a t i s
SOMATOMEGALI    s o m a t o m ## g a l i
SOMBOK    s o m b o k
SOMBOL    s o m b o l
SOMBONG    s o m b o ng
SOMBRERO    s o m b r ## r o
SOMENG    s o m ## ng
SOMNAMBULIS    s o m n a m b u l i s
SOMNAMBULISME    s o m n a m b u l i s m ##
SOMPEK    s o m p ## k
SOMPENG    s o m p ## ng
SOMPLAK    s o m p l a k
SOMPLOK    s o m p l o k
SOMPOH    s o m p o h
SOMPOK    s o m p o k
SOMPONG    s o m p o ng
SOMPRET    s o m p r ## t
SONAR    s o n a r
SONATA    s o n a t a
SONATINA    s o n a t i n a
SONDAI    s o n d ##
SONDANCO    s o n d a n c o
SONDANG    s o n d a ng
SONDASE    s o n d a s ##
SONDEK    s o n d ## k
SONDER    s o n d ## r
SONDOK    s o n d o k
SONDONG    s o n d o ng
SONETA    s o n ## t a
SONGAR    s o ng a r
SONGEL    s o ng ## l
SONGGENG    s o ng g ## ng
SONGKET    s o ng k ## t
SONGKOK    s o ng k o k
SONGKRO    s o ng k r o
SONGONG    s o ng o ng
SONGSONG    s o ng s o ng
SONIK    s o n i k
SONO    s o n o
SONOGRAM    s o n o g r a m
SONOKELING    s o n o k ## l i ng
SONOR    s o n o r
SONORAN    s o n o r a n
SONTAK    s o n t a k
SONTEK    s o n t ## k
SONTOK    s o n t o k
SONTOLOYO    s o n t o l o y o
SOP    s o p
SOPAK    s o p a k
SOPAN    s o p a n
SOPEK    s o p ## k
SOPI    s o p i
SOPIR    s o p i r
SOPORIFIK    s o p o r i f i k
SOPRAN    s o p r a n
SORAK    s o r a k
SORANG    s o r a ng
SORBAN    s o r b a n
SORBET    s o r b ## t
SORE    s o r ##
SOREK    s o r ## k
SOREN    s o r ## n
SORGUM    s o r g u m
SORI    s o r i
SOROG    s o r o g
SOROK    s o r o k
SORONG    s o r o ng
SOROT    s o r o t
SORTIR    s o r t i r
SOSI    s o s i
SOSIAL    s o s i a l
SOSIALIS    s o s i a l i s
SOSIALISASI    s o s i a l i s a s i
SOSIALISME    s o s i a l i s m ##
SOSIALISTIS    s o s i a l i s t i s
SOSIAWAN    s o s i a w a n
SOSIO    s o s i o
SOSIO-KULTURAL    s o s i o k u l t u r a l
SOSIOBIOLOG    s o s i o b i o l o g
SOSIODEMOKRASI    s o s i o d ## m o k r a s i
SOSIODRAMA    s o s i o d r a m a
SOSIOKULTURAL    s o s i o k u l t u r a l
SOSIOLEK    s o s i o l ## k
SOSIOLINGUISTIK    s o s i o l i ng u i s t i k
SOSIOLOG    s o s i o l o g
SOSIOLOGI    s o s i o l o g i
SOSIOLOGIS    s o s i o l o g i s
SOSIOMETRI    s o s i o m ## t r i
SOSIONASIONAL    s o s i o n a s i o n a l
SOSIOPAT    s o s i o p a t
SOSIS    s o s i s
SOSITET    s o s i t ## t
SOSOH    s o s o h
SOSOK    s o s o k
SOSOR    s o s o r
SOTO    s o t o
SOTOH    s o t o h
SOTONG    s o t o ng
SOTOR    s o t o r
SOUN    s o u n
SOWAN    s o w a n
SOWANG    s o w a ng
SOYAK    s o y a k
SPAGETI    s p a g ## t i
SPALASI    s p a l a s i
SPAN    s p a n
SPANDUK    s p a n d u k
SPANING    s p a n i ng
SPARING    s p a r i ng
SPASI    s p a s i
SPASIAL    s p a s i a l
SPASMODIS    s p a s m o d i s
SPASMUS    s p a s m u s
SPASTIK    s p a s t i k
SPATBOR    s p a t b o r
SPATULA    s p a t u l a
SPEDOMETER    s p ## d o m ## t ## r
SPEKTAKEL    s p ## k t a k ## l
SPEKTAKULER    s p ## k t a k u l ## r
SPEKTATOR    s p ## k t a t o r
SPEKTOGRAF    s p ## k t o g r a f
SPEKTOGRAM    s p ## k t o g r a m
SPEKTROGRAF    s p ## k t r o g r a f
SPEKTROGRAM    s p ## k t r o g r a m
SPEKTROKIMIA    s p ## k t r o k i m i a
SPEKTROMETER    s p ## k t r o m ## t ## r
SPEKTROSKOP    s p ## k t r o s k o p
SPEKTRUM    s p ## k t r u m
SPEKUK    s p ## k u k
SPEKULAN    s p ## k u l a n
SPEKULASI    s p ## k u l a s i
SPEKULATIF    s p ## k u l a t i f
SPEKULATOR    s p ## k u l a t o r
SPELEOLOGI    s p ## l ## o l o g i
SPELTER    s p ## l t ## r
SPERMA    s p ## r m a
SPERMASETI    s p ## r m a s ## t i
SPERMATID    s p ## r m a t i d
SPERMATOFORA    s p ## r m a t o f o r a
SPERMATOGENESIS    s p ## r m a t o g ## n ## s i s
SPERMATOSIT    s p ## r m a t o s i t
SPERMATOZOA    s p ## r m a t o z o a
SPERMATOZOID    s p ## r m a t o z ## d
SPESIAL    s p ## s i a l
SPESIALIS    s p ## s i a l i s
SPESIALISASI    s p ## s i a l i s a s i
SPESIALISTIS    s p ## s i a l i s t i s
SPESIES    s p ## s i ## s
SPESIFIK    s p ## s i f i k
SPESIFIKASI    s p ## s i f i k a s i
SPESIMEN    s p ## s i m ## n
SPIDOL    s p i d o l
SPIDOMETER    s p i d o m ## t ## r
SPIKUL    s p i k u l
SPIL    s p i l
SPINA    s p i n a
SPION    s p i o n
SPIONASE    s p i o n a s ##
SPIRAL    s p i r a l
SPIRALISASI    s p i r a l i s a s i
SPIRILUM    s p i r i l u m
SPIRIT    s p i r i t
SPIRITIS    s p i r i t i s
SPIRITISME    s p i r i t i s m ##
SPIRITUAL    s p i r i t u a l
SPIRITUALISASI    s p i r i t u a l i s a s i
SPIRITUALISME    s p i r i t u a l i s m ##
SPIRITUS    s p i r i t u s
SPIROMETER    s p i r o m ## t ## r
SPONS    s p o n s
SPONSOR    s p o n s o r
SPONTAN    s p o n t a n
SPONTANITAS    s p o n t a n i t a s
SPORA    s p o r a
SPORADIS    s p o r a d i s
SPORANGIUM    s p o r a ng i u m
SPOROFIL    s p o r o f i l
SPORT    s p o r t
SPORTIF    s p o r t i f
SPORTIVITAS    s p o r t i f i t a s
SPRING    s p r i ng
SPRINT    s p r i n t
SPRINTER    s p r i n t ## r
SPUTNIK    s p u t n i k
SPUTUM    s p u t u m
SREG    s r ## g
SREGEP    s r ## g ## p
SREMPET    s r ## m p ## t
SRI    s r i
SRIGADING    s r i g a d i ng
SRIGUNGGU    s r i g u ng g u
SRIGUNTING    s r i g u n t i ng
SRIKANDI    s r i k a n d i
SRIKAYA    s r i k a y a
SRIMANGANTI    s r i m a ng a n t i
SRIPAH    s r i p a h
SRIPANGGUNG    s r i p a ng g u ng
SRITI    s r i t i
STABIL    s t a b i l
STABILISASI    s t a b i l i s a s i
STABILISATOR    s t a b i l i s a t o r
STABILITAS    s t a b i l i t a s
STABILIZER    s t a b i l i z ## r
STADION    s t a d i o n
STADIUM    s t a d i u m
STAF    s t a f
STAFILITIS    s t a f i l i t i s
STAGNAN    s t a g n a n
STAGNASI    s t a g n a s i
STAKING    s t a k i ng
STALAGMIT    s t a l a g m i t
STALAGMOMETRI    s t a l a g m o m ## t r i
STALAKTIT    s t a l a k t i t
STALINISME    s t a l i n i s m ##
STALON    s t a l o n
STAMBA    s t a m b a
STAMBON    s t a m b o n
STAMBUK    s t a m b u k
STAMBUL    s t a m b u l
STAMEN    s t a m ## n
STAMINA    s t a m i n a
STAN    s t a n
STANDAR    s t a n d a r
STANDARDISASI    s t a n d a r d i s a s i
STANPLAT    s t a n p l a t
STANUM    s t a n u m
STANZA    s t a n z a
STAPLER    s t a p l ## r
STAPLES    s t a p l ## s
START    s t a r t
STARTER    s t a r t ## r
STASI    s t a s i
STASIONER    s t a s i o n ## r
STASIS    s t a s i s
STASIUN    s t a s i u n
STATIS    s t a t i s
STATISTIK    s t a t i s t i k
STATISTIKA    s t a t i s t i k a
STATISTIS    s t a t i s t i s
STATOR    s t a t o r
STATUS    s t a t u s
STATUTA    s t a t u t a
STATUTER    s t a t u t ## r
STEARAT    s t ## a r a t
STEARIN    s t ## a r i n
STEATIT    s t ## a t i t
STEATOSIS    s t ## a t o s i s
STEGODON    s t ## g o d o n
STEIK    s t ## k
STEK    s t ## k
STEKER    s t ## k ## r
STELA    s t ## l a
STELING    s t ## l i ng
STEMA    s t ## m a
STEMMA    s t ## m m a
STEMPEL    s t ## m p ## l
STEN    s t ## n
STENGUN    s t ## ng u n
STENO    s t ## n o
STENOGRAFER    s t ## n o g r a f ## r
STENOGRAFI    s t ## n o g r a f i
STENOGRAM    s t ## n o g r a m
STENSIL    s t ## n s i l
STEP    s t ## p
STEPA    s t ## p a
STEPLER    s t ## p l ## r
STERADIAN    s t ## r a d i a n
STEREO    s t ## r ## o
STEREOFONI    s t ## r ## o f o n i
STEREOFONIK    s t ## r ## o f o n i k
STEREOGNOSIS    s t ## r ## o g n o s i s
STEREOGRAF    s t ## r ## o g r a f
STEREOGRAFI    s t ## r ## o g r a f i
STEREOISOMERISME    s t ## r ## ## s o m ## r i s m ##
STEREOKIMIA    s t ## r ## o k i m i a
STEREOMETRI    s t ## r ## o m ## t r i
STEREOSKOP    s t ## r ## o s k o p
STEREOTIP    s t ## r ## o t i p
STEREOTIPIKAL    s t ## r ## o t i p i k a l
STERIL    s t ## r i l
STERILISASI    s t ## r i l i s a s i
STERILITAS    s t ## r i l i t a s
STEROID    s t ## r ## d
STEROIDAL    s t ## r ## d a l
STEROL    s t ## r o l
STETOSKOP    s t ## t o s k o p
STEVADOR    s t ## f a d o r
STIBIUM    s t i b i u m
STIGMA    s t i g m a
STIGMATA    s t i g m a t a
STIK    s t i k
STIKER    s t i k ## r
STILBESTROL    s t i l b ## s t r o l
STILIR    s t i l i r
STILISTIKA    s t i l i s t i k a
STILOGRAF    s t i l o g r a f
STIMULAN    s t i m u l a n
STIMULANS    s t i m u l a n s
STIMULASI    s t i m u l a s i
STIMULATIF    s t i m u l a t i f
STIMULATOR    s t i m u l a t o r
STIMULUS    s t i m u l u s
STIPENDIUM    s t i p ## n d i u m
STIPULASI    s t i p u l a s i
STIRENA    s t i r ## n a
STOIKIOMETRI    s t ## k i o m ## t r i
STOK    s t o k
STOKASTIK    s t o k a s t i k
STOKER    s t o k ## r
STOL    s t o l
STOLIDITAS    s t o l i d i t a s
STOLON    s t o l o n
STOMATA    s t o m a t a
STOMATITIS    s t o m a t i t i s
STOMATOGASTRIK    s t o m a t o g a s t r i k
STOMATOSKOP    s t o m a t o s k o p
STOP    s t o p
STOPER    s t o p ## r
STOPKERAN    s t o p k ## r a n
STOPKONTAK    s t o p k o n t a k
STOPLES    s t o p l ## s
STORI    s t o r i
STORMKING    s t o r m k i ng
STRABOTOMI    s t r a b o t o m i
STRATA    s t r a t a
STRATEGEM    s t r a t ## g ## m
STRATEGI    s t r a t ## g i
STRATEGIS    s t r a t ## g i s
STRATIFIKASI    s t r a t i f i k a s i
STRATIGRAFI    s t r a t i g r a f i
STRATO    s t r a t o
STRATOKUMULUS    s t r a t o k u m u l u s
STRATOPAUSE    s t r a t o p ## s ##
STRATOPOUSE    s t r a t o p o u s ##
STRATOSFER    s t r a t o s f ## r
STRATUM    s t r a t u m
STRATUS    s t r a t u s
STRENG    s t r ## ng
STREPTOKOKUS    s t r ## p t o k o k u s
STREPTOMISIN    s t r ## p t o m i s i n
STRES    s t r ## s
STRIKER    s t r i k ## r
STRIMIN    s t r i m i n
STRIP    s t r i p
STRIPTIS    s t r i p t i s
STROBERI    s t r o b ## r i
STROBILA    s t r o b i l a
STROBOSKOP    s t r o b o s k o p
STROKE    s t r o k ##
STROMKING    s t r o m k i ng
STRONTIUM    s t r o n t i u m
STRUKTUR    s t r u k t u r
STRUKTURAL    s t r u k t u r a l
STRUKTURALISASI    s t r u k t u r a l i s a s i
STRUKTURALISME    s t r u k t u r a l i s m ##
STRUMA    s t r u m a
STUDEN    s t u d ## n
STUDI    s t u d i
STUDIO    s t u d i o
STUKO    s t u k o
STUPA    s t u p a
SUA    s u a
SUAH    s u a h
SUAI    s u ##
SUAK    s u a k
SUAKA    s u a k a
SUAM    s u a m
SUAMI    s u a m i
SUAMINDA    s u a m i n d a
SUANG    s u a ng
SUANGI    s u a ng i
SUAP    s u a p
SUAR    s u a r
SUARA    s u a r a
SUARANG    s u a r a ng
SUARAWATI    s u a r a w a t i
SUARGALOKA    s u a r g a l o k a
SUARI    s u a r i
SUASA    s u a s a
SUASANA    s u a s a n a
SUAT    s u a t
SUATU    s u a t u
SUB    s u b
SUBAK    s u b a k
SUBAL    s u b a l
SUBAM    s u b a m
SUBAN    s u b a n
SUBANG    s u b a ng
SUBBAB    s u b b a b
SUBBAGIAN    s u b b a g i a n
SUBDIREKTORAT    s u b d i r ## k t o r a t
SUBENTRI    s u b ## n t r i
SUBERAT    s u b ## r a t
SUBERIN    s u b ## r i n
SUBETNIK    s u b ## t n i k
SUBFILUM    s u b f i l u m
SUBGENERALISASI    s u b g ## n ## r a l i s a s i
SUBGENUS    s u b g ## n u s
SUBHANA    s u b h a n a
SUBHANALLAH    s u b h a n a l l a h
SUBHAT    s u b h a t
SUBIRIGASI    s u b i r i g a s i
SUBJEK    s u b j ## k
SUBJEKTIF    s u b j ## k t i f
SUBJEKTIVISME    s u b j ## k t i f i s m ##
SUBKATEGORISASI    s u b k a t ## g o r i s a s i
SUBKELAS    s u b k ## l a s
SUBKLAS    s u b k l a s
SUBKONTRAKTOR    s u b k o n t r a k t o r
SUBKULTUR    s u b k u l t u r
SUBLEMA    s u b l ## m a
SUBLETAL    s u b l ## t a l
SUBLIM    s u b l i m
SUBLIMASI    s u b l i m a s i
SUBLIMAT    s u b l i m a t
SUBMARINE    s u b m a r i n ##
SUBMUKOSA    s u b m u k o s a
SUBORDINASI    s u b o r d i n a s i
SUBORDINAT    s u b o r d i n a t
SUBORGANISASI    s u b o r g a n i s a s i
SUBSIDER    s u b s i d ## r
SUBSIDI    s u b s i d i
SUBSKRIP    s u b s k r i p
SUBSONIK    s u b s o n i k
SUBSTANDAR    s u b s t a n d a r
SUBSTANSI    s u b s t a n s i
SUBSTANSIAL    s u b s t a n s i a l
SUBSTANTIF    s u b s t a n t i f
SUBSTITUSI    s u b s t i t u s i
SUBSTITUTIF    s u b s t i t u t i f
SUBSTRAT    s u b s t r a t
SUBTIL    s u b t i l
SUBTONIK    s u b t o n i k
SUBTROPIK    s u b t r o p i k
SUBUCO    s u b u c o
SUBUH    s u b u h
SUBUNIT    s u b u n i t
SUBUR    s u b u r
SUBVERSI    s u b f ## r s i
SUBVERSIF    s u b f ## r s i f
SUBYEK    s u b y ## k
SUBYEKTIF    s u b y ## k t i f
SUBYEKTIVISME    s u b y ## k t i f i s m ##
SUCENG    s u c ## ng
SUCI    s u c i
SUDA    s u d a
SUDAH    s u d a h
SUDET    s u d ## t
SUDI    s u d i
SUDIP    s u d i p
SUDORIFERUS    s u d o r i f ## r u s
SUDRA    s u d r a
SUDU    s u d u
SUDU-SUDU    s u d u s u d u
SUDUAYAH    s u d u a y a h
SUDUK    s u d u k
SUDUNG    s u d u ng
SUDUT    s u d u t
SUF    s u f
SUFAH    s u f a h
SUFAL    s u f a l
SUFI    s u f i
SUFIKS    s u f i k s
SUFISME    s u f i s m ##
SUFRAH    s u f r a h
SUGAR    s u g a r
SUGESTI    s u g ## s t i
SUGI    s u g i
SUGIH    s u g i h
SUGUH    s u g u h
SUGUL    s u g u l
SUGUN    s u g u n
SUH    s u h
SUHAD    s u h a d
SUHIAN    s u h i a n
SUHU    s u h u
SUHUF    s u h u f
SUHUN    s u h u n
SUISEKI    s u i s ## k i
SUIT    s u i t
SUJANA    s u j a n a
SUJEN    s u j ## n
SUJI    s u j i
SUJUD    s u j u d
SUKA    s u k a
SUKACITA    s u k a c i t a
SUKADE    s u k a d ##
SUKAMANDI    s u k a m a n d i
SUKAN    s u k a n
SUKAR    s u k a r
SUKARELA    s u k a r ## l a
SUKARELAWAN    s u k a r ## l a w a n
SUKARIA    s u k a r i a
SUKAT    s u k a t
SUKDUF    s u k d u f
SUKE    s u k ##
SUKET    s u k ## t
SUKI    s u k i
SUKLAPAKSA    s u k l a p a k s a
SUKMA    s u k m a
SUKROSA    s u k r o s a
SUKSES    s u k s ## s
SUKSESI    s u k s ## s i
SUKSESIF    s u k s ## s i f
SUKU    s u k u
SUKUISME    s u k u i s m ##
SUKUN    s u k u n
SULA    s u l a
SULAH    s u l a h
SULALAH    s u l a l a h
SULALAT    s u l a l a t
SULAM    s u l a m
SULANG    s u l a ng
SULAP    s u l a p
SULAT-SULIT    s u l a t s u l i t
SULBI    s u l b i
SULFANASI    s u l f a n a s i
SULFANILAMIDA    s u l f a n i l a m i d a
SULFAT    s u l f a t
SULFHIDRIL    s u l f h i d r i l
SULFOLIPID    s u l f o l i p i d
SULFONAMIDA    s u l f o n a m i d a
SULFUR    s u l f u r
SULFURASI    s u l f u r a s i
SULI    s u l i
SULIH    s u l i h
SULING    s u l i ng
SULIT    s u l i t
SULTAN    s u l t a n
SULTANAT    s u l t a n a t
SULTANI    s u l t a n i
SULUH    s u l u h
SULUK    s u l u k
SULUNG    s u l u ng
SULUR    s u l u r
SULUT    s u l u t
SUM    s u m
SUMAH    s u m a h
SUMARAH    s u m a r a h
SUMARE    s u m a r ##
SUMASI    s u m a s i
SUMBA    s u m b a
SUMBANG    s u m b a ng
SUMBANGSIH    s u m b a ng s i h
SUMBAR    s u m b a r
SUMBAT    s u m b a t
SUMBEL    s u m b ## l
SUMBER    s u m b ## r
SUMBI    s u m b i
SUMBING    s u m b i ng
SUMBU    s u m b u
SUMBUK    s u m b u k
SUMBUL    s u m b u l
SUMBUNG    s u m b u ng
SUMBUR    s u m b u r
SUMBUT    s u m b u t
SUMEH    s u m ## h
SUMENGIT    s u m ## ng i t
SUMILIR    s u m i l i r
SUMIR    s u m i r
SUMIRAT    s u m i r a t
SUMO    s u m o
SUMPAH    s u m p a h
SUMPAH-SUMPAH    s u m p a h s u m p a h
SUMPAL    s u m p a l
SUMPEK    s u m p ## k
SUMPEL    s u m p ## l
SUMPING    s u m p i ng
SUMPIT    s u m p i t
SUMSUM    s u m s u m
SUMUR    s u m u r
SUMURUNG    s u m u r u ng
SUN    s u n
SUNAH    s u n a h
SUNAM    s u n a m
SUNAN    s u n a n
SUNAT    s u n a t
SUNATULLAH    s u n a t u l l a h
SUNBULAT    s u n b u l a t
SUNDAI    s u n d ##
SUNDAK    s u n d a k
SUNDAL    s u n d a l
SUNDANG    s u n d a ng
SUNDARI    s u n d a r i
SUNDEP    s u n d ## p
SUNDUK    s u n d u k
SUNDUL    s u n d u l
SUNDUS    s u n d u s
SUNDUSIN    s u n d u s i n
SUNDUT    s u n d u t
SUNGAI    s u ng ##
SUNGGA    s u ng g a
SUNGGI    s u ng g i
SUNGGING    s u ng g i ng
SUNGGIT    s u ng g i t
SUNGGUH    s u ng g u h
SUNGGUHPUN    s u ng g u h p u n
SUNGIL    s u ng i l
SUNGKAH    s u ng k a h
SUNGKAI    s u ng k ##
SUNGKAL    s u ng k a l
SUNGKAN    s u ng k a n
SUNGKAP    s u ng k a p
SUNGKAWA    s u ng k a w a
SUNGKEM    s u ng k ## m
SUNGKIT    s u ng k i t
SUNGKUK    s u ng k u k
SUNGKUM    s u ng k u m
SUNGKUP    s u ng k u p
SUNGKUR    s u ng k u r
SUNGKURAN    s u ng k u r a n
SUNGSANG    s u ng s a ng
SUNGU    s u ng u
SUNGUT    s u ng u t
SUNI    s u n i
SUNJAM    s u n j a m
SUNTI    s u n t i
SUNTIABU    s u n t i a b u
SUNTIH    s u n t i h
SUNTIK    s u n t i k
SUNTING    s u n t i ng
SUNTUK    s u n t u k
SUNU    s u n u
SUNUKUNG    s u n u k u ng
SUNYATA    s u ny a t a
SUNYI    s u ny i
SUP    s u p
SUPA    s u p a
SUPAI    s u p ##
SUPAYA    s u p a y a
SUPEL    s u p ## l
SUPER    s u p ## r
SUPERBLOK    s u p ## r b l o k
SUPERCEPAT    s u p ## r c ## p a t
SUPERFISIAL    s u p ## r f i s i a l
SUPERFOSFAT    s u p ## r f o s f a t
SUPERHETERODIN    s u p ## r h ## t ## r o d i n
SUPERINFEKSI    s u p ## r i n f ## k s i
SUPERINTENDEN    s u p ## r i n t ## n d ## n
SUPERIOR    s u p ## r i o r
SUPERIORITAS    s u p ## r i o r i t a s
SUPERJET    s u p ## r j ## t
SUPERKOMPUTER    s u p ## r k o m p u t ## r
SUPERKONDUKTIVITAS    s u p ## r k o n d u k t i f i t a s
SUPERKONDUKTOR    s u p ## r k o n d u k t o r
SUPERLATIF    s u p ## r l a t i f
SUPERLATIVISME    s u p ## r l a t i f i s m ##
SUPERLUNAR    s u p ## r l u n a r
SUPERMARKET    s u p ## r m a r k ## t
SUPERMEN    s u p ## r m ## n
SUPERNATURAL    s u p ## r n a t u r a l
SUPERNOVA    s u p ## r n o f a
SUPERSKRIP    s u p ## r s k r i p
SUPERSKRIPSI    s u p ## r s k r i p s i
SUPERSONIK    s u p ## r s o n i k
SUPERSTAR    s u p ## r s t a r
SUPERSTRUKTUR    s u p ## r s t r u k t u r
SUPERVISI    s u p ## r f i s i
SUPERVISOR    s u p ## r f i s o r
SUPLAI    s u p l ##
SUPLEMEN    s u p l ## m ## n
SUPLEMENTASI    s u p l ## m ## n t a s i
SUPLESI    s u p l ## s i
SUPLETOAR    s u p l ## t o a r
SUPORTER    s u p o r t ## r
SUPORTIF    s u p o r t i f
SUPRA    s u p r a
SUPRAALAMI    s u p r a a l a m i
SUPRAFIKS    s u p r a f i k s
SUPRAMOLEKULER    s u p r a m o l ## k u l ## r
SUPRANASIONAL    s u p r a n a s i o n a l
SUPRARENE    s u p r a r ## n ##
SUPRARENOMA    s u p r a r ## n o m a
SUPRASASTI    s u p r a s a s t i
SUPRASEGMENTAL    s u p r a s ## g m ## n t a l
SUPREMASI    s u p r ## m a s i
SUPRESIF    s u p r ## s i f
SUPRESOR    s u p r ## s o r
SURA    s u r a
SURAH    s u r a h
SURAHI    s u r a h i
SURAI    s u r ##
SURALAYA    s u r a l a y a
SURALOKA    s u r a l o k a
SURAM    s u r a m
SURAT    s u r a t
SURATI    s u r a t i
SURAU    s u r ##
SURAYA    s u r a y a
SUREALIS    s u r ## a l i s
SUREALISME    s u r ## a l i s m ##
SUREN    s u r ## n
SURFAKTAN    s u r f a k t a n
SURGA    s u r g a
SURGALOKA    s u r g a l o k a
SURGAWI    s u r g a w i
SURI    s u r i
SURIAN    s u r i a n
SURIH    s u r i h
SURILI    s u r i l i
SURJAN    s u r j a n
SUROGAT    s u r o g a t
SURPLUS    s u r p l u s
SURUH    s u r u h
SURUK    s u r u k
SURUP    s u r u p
SURUT    s u r u t
SURVEI    s u r f ##
SURYA    s u r y a
SURYAKANTA    s u r y a k a n t a
SURYANI    s u r y a n i
SUS    s u s
SUSAH    s u s a h
SUSASTRA    s u s a s t r a
SUSEPTIBILITAS    s u s ## p t i b i l i t a s
SUSILA    s u s i l a
SUSILAT    s u s i l a t
SUSPENDER    s u s p ## n d ## r
SUSPENSI    s u s p ## n s i
SUSTER    s u s t ## r
SUSU    s u s u
SUSUH    s u s u h
SUSUK    s u s u k
SUSUL    s u s u l
SUSUN    s u s u n
SUSUNG    s u s u ng
SUSUP    s u s u p
SUSUR    s u s u r
SUSUT    s u s u t
SUT    s u t
SUTAN    s u t a n
SUTEN    s u t ## n
SUTIL    s u t i l
SUTRA    s u t r a
SUTRADARA    s u t r a d a r a
SUTURA    s u t u r a
SUUL    s u u l
SUUN    s u u n
SUUZAN    s u u z a n
